;50.634445,3.048384;50.631068,3.042985;50.631682,3.042381;50.631936,3.041853;50.635331,3.046715;50.635378,3.047095;50.635121,3.047575;50.634485,3.054061;50.636339,3.053165;50.63176,3.049094;50.631164,3.049742;50.631512,3.046514;50.631246,3.044121;50.625615,3.047804;50.625355,3.050008;50.625567,3.048748;50.625472,3.048837;50.628224,3.053944;50.630734,3.054799;50.631658,3.051604;50.625386,3.034915;50.62791,3.034573;50.623975,3.040876;50.626337,3.045418;50.627615,3.046426;50.627868,3.046266;50.627351,3.046834;50.628954,3.038573;50.627441,3.045699;50.627978,3.047357;50.633589,3.059981;50.637043,3.058569;50.63446,3.054171;50.634965,3.053704;50.635384,3.054206;50.627073,3.066804;50.627066,3.042964;50.645411,3.059484;50.63277,3.042354;50.631574,3.040774;50.633207,3.054728;50.633179,3.054345;50.633433,3.055845;50.632866,3.053006;50.632438,3.050614;50.635058,3.050859;50.628832,3.049834;50.629149,3.051267;50.629083,3.05039;50.62929,3.049211;50.629913,3.049549;50.626132,3.059704;50.626434,3.059438;50.626153,3.060522;50.624837,3.061384;50.625077,3.060735;50.62479,3.059539;50.624182,3.06045;50.623496,3.064907;50.623087,3.06643;50.624739,3.067318;50.621942,3.041473;50.622637,3.042049;50.62196,3.042472;50.6216,3.043302;50.622412,3.043979;50.623041,3.043312;50.622379,3.038301;50.619929,3.049727;50.625395,3.043248;50.630847,3.067337;50.640557,3.083593;50.638,3.056016;50.629979,3.051115;50.629705,3.051757
50.623496,3.064907;1335.0;1603.0;1660.0;1709.0;1464.0;1434.0;1405.0;1211.0;1394.0;1292.0;1229.0;1358.0;1527.0;1059.0;926.0;1001.0;992.0;850.0;964.0;1150.0;1790.0;1892.0;1393.0;1250.0;1216.0;1234.0;1184.0;1713.0;1254.0;1180.0;1067.0;1354.0;1205.0;1264.0;1308.0;489.0;1385.0;2181.0;1684.0;1701.0;1091.0;1110.0;1093.0;1144.0;1197.0;1381.0;1081.0;1095.0;1135.0;1131.0;1226.0;512.0;546.0;470.0;333.0;373.0;400.0;327.0;0.0;166.0;211.0;1305.0;1282.0;1237.0;1170.0;1140.0;1208.0;1530.0;930.0;1300.0;834.0;2124.0;1514.0;1111.0;1069.0
50.623087,3.06643;1417.0;1700.0;1757.0;1806.0;1546.0;1516.0;1487.0;1293.0;1476.0;1374.0;1311.0;1456.0;1625.0;1157.0;1023.0;1099.0;1090.0;947.0;1047.0;1232.0;1887.0;1989.0;1490.0;1347.0;1313.0;1331.0;1282.0;1810.0;1351.0;1277.0;1149.0;1436.0;1287.0;1346.0;1390.0;460.0;1483.0;2152.0;1782.0;1798.0;1173.0;1192.0;1175.0;1226.0;1279.0;1463.0;1179.0;1177.0;1223.0;1228.0;1270.0;610.0;674.0;569.0;461.0;501.0;497.0;456.0;166.0;0.0;182.0;1403.0;1379.0;1334.0;1267.0;1237.0;1306.0;1627.0;1028.0;1397.0;805.0;2095.0;1610.0;1192.0;1151.0
50.624739,3.067318;1234.0;1607.0;1664.0;1694.0;1363.0;1334.0;1304.0;1111.0;1293.0;1191.0;1128.0;1344.0;1532.0;1068.0;945.0;1005.0;996.0;824.0;864.0;1049.0;1885.0;1989.0;1502.0;1259.0;1220.0;1238.0;1188.0;1774.0;1262.0;1183.0;966.0;1253.0;1104.0;1164.0;1207.0;345.0;1447.0;2050.0;1670.0;1766.0;990.0;1009.0;993.0;1043.0;1096.0;1280.0;1085.0;994.0;1040.0;1116.0;1087.0;427.0;491.0;386.0;384.0;425.0;458.0;379.0;211.0;182.0;0.0;1479.0;1456.0;1411.0;1343.0;1313.0;1382.0;1704.0;1142.0;1337.0;703.0;1993.0;1436.0;1009.0;968.0
50.621942,3.041473;1256.0;960.0;1016.0;1065.0;1342.0;1355.0;1325.0;1430.0;1629.0;1139.0;1101.0;1043.0;934.0;597.0;570.0;529.0;520.0;974.0;1103.0;1170.0;475.0;681.0;215.0;491.0;664.0;682.0;632.0;695.0;613.0;714.0;1435.0;1711.0;1424.0;1483.0;1527.0;1586.0;559.0;2420.0;1086.0;994.0;1309.0;1328.0;1381.0;1338.0;1249.0;1416.0;822.0;922.0;876.0;872.0;962.0;1156.0;1158.0;1197.0;1186.0;1202.0;1118.0;1099.0;1305.0;1403.0;1479.0;0.0;83.0;128.0;135.0;224.0;157.0;229.0;618.0;408.0;1675.0;2885.0;1755.0;979.0;981.0
50.622637,3.042049;1189.0;893.0;950.0;999.0;1276.0;1288.0;1259.0;1364.0;1563.0;1073.0;1038.0;977.0;868.0;428.0;486.0;445.0;436.0;908.0;1037.0;1104.0;498.0;703.0;237.0;425.0;598.0;616.0;566.0;708.0;547.0;648.0;1369.0;1645.0;1357.0;1416.0;1460.0;1402.0;496.0;2354.0;1020.0;928.0;1243.0;1262.0;1314.0;1255.0;1166.0;1349.0;756.0;855.0;810.0;805.0;900.0;972.0;974.0;1013.0;1162.0;1078.0;1094.0;1076.0;1282.0;1379.0;1456.0;83.0;0.0;66.0;133.0;142.0;73.0;252.0;573.0;341.0;1591.0;2819.0;1689.0;913.0;915.0
50.62196,3.042472;1255.0;960.0;1016.0;1065.0;1342.0;1355.0;1325.0;1430.0;1629.0;1139.0;1104.0;1043.0;934.0;494.0;597.0;511.0;502.0;974.0;1103.0;1170.0;543.0;748.0;282.0;491.0;664.0;682.0;632.0;774.0;613.0;714.0;1435.0;1711.0;1423.0;1483.0;1526.0;1518.0;563.0;2420.0;1086.0;994.0;1309.0;1328.0;1380.0;1321.0;1233.0;1416.0;822.0;921.0;876.0;871.0;966.0;1088.0;1090.0;1129.0;1117.0;1134.0;1049.0;1031.0;1237.0;1334.0;1411.0;128.0;66.0;0.0;67.0;98.0;139.0;297.0;538.0;407.0;1709.0;2885.0;1755.0;979.0;981.0
50.6216,3.043302;1304.0;1009.0;1065.0;1114.0;1391.0;1404.0;1374.0;1479.0;1678.0;1188.0;1153.0;1092.0;983.0;543.0;613.0;560.0;551.0;1023.0;1152.0;1219.0;611.0;816.0;351.0;540.0;713.0;731.0;681.0;823.0;662.0;763.0;1484.0;1760.0;1472.0;1532.0;1575.0;1451.0;612.0;2469.0;1135.0;1043.0;1358.0;1377.0;1429.0;1370.0;1282.0;1465.0;871.0;970.0;925.0;920.0;1015.0;1020.0;1023.0;1062.0;1050.0;1067.0;982.0;963.0;1170.0;1267.0;1343.0;135.0;133.0;67.0;0.0;144.0;207.0;365.0;481.0;456.0;1651.0;2934.0;1804.0;1028.0;1030.0
50.622412,3.043979;1190.0;894.0;950.0;1000.0;1276.0;1289.0;1259.0;1364.0;1563.0;1073.0;1039.0;977.0;869.0;428.0;490.0;445.0;437.0;909.0;1038.0;1104.0;641.0;832.0;331.0;425.0;598.0;616.0;567.0;708.0;547.0;649.0;1370.0;1645.0;1358.0;1417.0;1461.0;1421.0;497.0;2354.0;1020.0;928.0;1243.0;1263.0;1315.0;1255.0;1167.0;1350.0;757.0;856.0;810.0;806.0;900.0;991.0;993.0;1032.0;1020.0;1037.0;952.0;934.0;1140.0;1237.0;1313.0;224.0;142.0;98.0;144.0;0.0;146.0;396.0;439.0;342.0;1610.0;2820.0;1689.0;913.0;915.0
50.623041,3.043312;1115.0;820.0;876.0;925.0;1202.0;1215.0;1185.0;1290.0;1489.0;999.0;964.0;903.0;794.0;354.0;412.0;371.0;362.0;834.0;963.0;1030.0;572.0;757.0;256.0;351.0;524.0;542.0;492.0;634.0;473.0;574.0;1295.0;1571.0;1284.0;1343.0;1386.0;1328.0;423.0;2280.0;946.0;854.0;1169.0;1188.0;1241.0;1181.0;1093.0;1276.0;682.0;782.0;736.0;732.0;826.0;898.0;900.0;939.0;1089.0;1004.0;1021.0;1002.0;1208.0;1306.0;1382.0;157.0;73.0;139.0;207.0;146.0;0.0;326.0;499.0;267.0;1517.0;2745.0;1615.0;839.0;841.0
50.622379,3.038301;1168.0;872.0;929.0;978.0;1255.0;1267.0;1238.0;1426.0;1542.0;1052.0;1048.0;955.0;847.0;669.0;726.0;736.0;676.0;1047.0;1176.0;1180.0;356.0;648.0;287.0;563.0;737.0;755.0;705.0;662.0;686.0;787.0;1508.0;1726.0;1420.0;1469.0;1513.0;1641.0;573.0;2333.0;999.0;907.0;1333.0;1314.0;1413.0;1234.0;1145.0;1328.0;895.0;994.0;949.0;944.0;976.0;1211.0;1213.0;1253.0;1411.0;1317.0;1342.0;1324.0;1530.0;1627.0;1704.0;229.0;252.0;297.0;365.0;396.0;326.0;0.0;821.0;480.0;1885.0;2958.0;1735.0;1052.0;1054.0
